GroupID,Height,Diameter,,,,GroupID,Height,Diameter,,,,GroupID,Height,Diameter
,,,,,,,,,,,,,,
SC,159,0.079,,,,SR,144,0.063,,,,SG,163,0.053
,,,,,,,,,,,,,,
SC,186.5,0.074,,,,SR,133.7,0.045,,,,SG,118.2,0.036
,,,,,,,,,,,,,,
SC,175,0.086,,,,SR,126,0.047,,,,SG,88,0.025
,,,,,,,,,,,,,,
SC,149.8,0.064,,,,SR,95,0.027,,,,SG,97.8,0.029
,,,,,,,,,,,,,,
SC,126,0.086,,,,SR,106.5,0.031,,,,SG,91,0.027
,,,,,,,,,,,,,,
SC,168,0.111,,,,SR,142.2,0.058,,,,SG,60.3,0.015
,,,,,,,,,,,,,,
SC,185,0.098,,,,SR,136,0.028,,,,SG,127.2,0.047
,,,,,,,,,,,,,,
SC,160,0.058,,,,SR,119.5,0.038,,,,SG,101,0.035
,,,,,,,,,,,,,,
SC,162,0.07,,,,SR,104.5,0.037,,,,SG,112,0.04
,,,,,,,,,,,,,,
SC,164,0.063,,,,SR,120.3,0.039,,,,SG,139,0.049
,,,,,,,,,,,,,,
SC,180,0.094,,,,SR,139,0.056,,,,SG,122.5,0.048
,,,,,,,,,,,,,,
SC,172.5,0.093,,,,SR,95,0.047,,,,SG,184.2,0.028
,,,,,,,,,,,,,,
SC,123.3,0.09,,,,SR,106,0.032,,,,SG,118,0.039
,,,,,,,,,,,,,,
SC,121,0.043,,,,SR,120,0.044,,,,SG,122,0.046
,,,,,,,,,,,,,,
SC,178,0.84,,,,SR,110.5,0.035,,,,SG,90,0.032
,,,,,,,,,,,,,,
SC,154,0.7,,,,SR,112.8,0.58,,,,SG,92.5,0.03
,,,,,,,,,,,,,,
SC,151,0.75,,,,SR,109.7,0.34,,,,SG,64.6,0.3
,,,,,,,,,,,,,,
SC,171,0.76,,,,SR,124.3,0.45,,,,SG,71.7,0.35
,,,,,,,,,,,,,,
SC,149,0.64,,,,SR,135.5,0.59,,,,SG,91.4,0.44
,,,,,,,,,,,,,,
SC,147.5,0.73,,,,SR,104.3,0.46,,,,SG,110.8,0.56
,,,,,,,,,,,,,,
SC,139.8,0.63,,,,SR,138.7,0.52,,,,SG,74.1,0.27
,,,,,,,,,,,,,,
SC,134.4,0.69,,,,SR,130.7,0.44,,,,SG,109.2,0.44
,,,,,,,,,,,,,,
SC,169.6,0.81,,,,SR,133.6,0.42,,,,SG,98.8,0.41
,,,,,,,,,,,,,,
SC,147.5,0.63,,,,SR,106.2,0.39,,,,SG,122.3,0.56
,,,,,,,,,,,,,,
SC,186.4,0.83,,,,SR,138.9,0.59,,,,SG,78.5,0.35
,,,,,,,,,,,,,,
SC,161.8,0.69,,,,SR,94.6,0.34,,,,SG,84.1,0.34
,,,,,,,,,,,,,,
SC,138.2,0.93,,,,SR,114.2,0.51,,,,SG,96.8,0.35
,,,,,,,,,,,,,,
SC,157.7,0.61,,,,SR,147.2,0.63,,,,SG,96,0.35
,,,,,,,,,,,,,,
SC,173.4,0.68,,,,SR,124.5,0.53,,,,SG,76.6,0.33
,,,,,,,,,,,,,,
SC,124,0.5,,,,SR,122.9,0.43,,,,SG,74.1,0.29
,,,,,,,,,,,,,,
SC,133,0.87,,,,SR,108,0.46,,,,SG,93.2,0.34
,,,,,,,,,,,,,,
SC,150,0.79,,,,SR,111,0.53,,,,SG,72,0.36
,,,,,,,,,,,,,,
SC,114,0.61,,,,SR,151,0.59,,,,SG,62,0.32
,,,,,,,,,,,,,,
SC,124,0.71,,,,SR,135,0.5,,,,SG,73,0.36
,,,,,,,,,,,,,,
SC,110,0.9,,,,SR,132.5,0.49,,,,SG,63,0.3
,,,,,,,,,,,,,,
SC,89,0.58,,,,SR,111.5,0.59,,,,SG,84,0.47
,,,,,,,,,,,,,,
SC,84,0.69,,,,SR,121,0.53,,,,SG,85,0.41
,,,,,,,,,,,,,,
SC,120,0.58,,,,SR,118,0.33,,,,SG,88,0.4
,,,,,,,,,,,,,,
SC,106,0.79,,,,SR,129,0.54,,,,SG,71,0.36
,,,,,,,,,,,,,,
SC,112,0.54,,,,SR,139,0.59,,,,SG,122,0.49
,,,,,,,,,,,,,,
SC,119.5,0.59,,,,SR,111,0.44,,,,SG,118,0.51
,,,,,,,,,,,,,,
