,lat,lng
1,44.477088,-73.18203
2,44.47721,-73.18507
3,44.47912,-73.18382
4,44.47773,-73.18309
5,44.47762,-73.18596
6,44.47891,-73.18708
7,44.47891,-73.18314
8,44.47928,-73.18697
9,44.47717,-73.18519
10,44.47816,-73.18506
11,44.47772,-73.18315
12,44.47815,-73.18297
13,44.47897,-73.18565
14,44.47813,-73.18516
15,44.47932,-73.18249
16,44.47806,-73.18227
17,44.47797,-73.18332
18,44.47769,-73.18527
19,44.47884,-73.18658
20,44.47795,-73.18486
21,44.47728,-73.18695
22,44.47834,-73.18786
23,44.47787,-73.18753
24,44.47721,-73.18587
25,44.47702,-73.18421
26,44.47805,-73.18788
27,44.47932,-73.18661
28,44.47923,-73.1826
29,44.47867,-73.18329
30,44.47851,-73.18724
